Code,Title,Code,Rating,Rating Count
tt2297757,Nathan for You,tt2297757,8.8,"29,209"
tt1865718,Gravity Falls,tt1865718,8.8,"104,586"
tt0108778,Friends,tt0108778,8.8,"975,993"
tt7137906,When They See Us,tt7137906,8.8,"118,749"
tt3530232,Last Week Tonight with John Oliver,tt3530232,8.8,"88,170"
tt2571774,Africa,tt2571774,8.8,"16,015"
tt4742876,TVF Pitchers,tt4742876,8.8,"67,043"
tt1508238,Apocalypse: The Second World War,tt1508238,8.8,"12,514"
tt0063929,Monty Python's Flying Circus,tt0063929,8.8,"73,963"
tt0472954,It's Always Sunny in Philadelphia,tt0472954,8.8,"221,963"
tt4934214,Taskmaster,tt4934214,8.8,"12,117"
tt0081834,Das Boot,tt0081834,8.8,"30,074"
tt0264235,Curb Your Enthusiasm,tt0264235,8.8,"126,978"
tt0112130,Pride and Prejudice,tt0112130,8.8,"84,498"
tt0072500,Fawlty Towers,tt0072500,8.8,"92,709"
tt0200276,The West Wing,tt0200276,8.8,"75,137"
tt0193676,Freaks and Geeks,tt0193676,8.8,"141,835"
tt1831164,Leyla and Mecnun,tt1831164,8.7,"93,573"
tt0096548,Blackadder Goes Forth,tt0096548,8.7,"52,717"
tt0098936,Twin Peaks,tt0098936,8.7,"195,701"
tt2085059,Black Mirror,tt2085059,8.7,"533,394"
tt2707408,Narcos,tt2707408,8.7,"414,842"
tt3398228,BoJack Horseman,tt3398228,8.7,"151,503"
tt0353049,Chappelle's Show,tt0353049,8.7,"64,113"
tt7660850,Succession,tt7660850,8.7,"137,778"
tt0214341,Dragon Ball Z,tt0214341,8.7,"129,147"
tt0121220,Dragon Ball Z,tt0121220,8.7,"79,152"
tt0074006,"I, Claudius",tt0074006,8.7,"17,521"
tt0121955,South Park,tt0121955,8.7,"365,597"
tt0384766,Rome,tt0384766,8.7,"170,210"
tt2442560,Peaky Blinders,tt2442560,8.7,"526,330"
tt0388629,One Piece,tt0388629,8.7,"120,305"
tt10986410,Ted Lasso,tt10986410,8.7,"196,795"
tt0118421,Oz,tt0118421,8.7,"98,800"
tt0248654,Six Feet Under,tt0248654,8.7,"134,185"
tt3718778,Over the Garden Wall,tt3718778,8.7,"54,397"
tt9432978,Kota Factory,tt9432978,8.7,"70,736"
tt5753856,Dark,tt5753856,8.7,"369,532"
tt13675832,As If,tt13675832,8.7,"12,077"
tt8111088,The Mandalorian,tt8111088,8.7,"458,908"
tt0367279,Arrested Development,tt0367279,8.7,"302,258"
tt1910272,Steins;Gate,tt1910272,8.7,"60,774"
tt4508902,One Punch Man,tt4508902,8.7,"154,877"
tt1190634,The Boys,tt1190634,8.7,"461,475"
tt0096697,The Simpsons,tt0096697,8.7,"402,014"
tt0412142,House M.D.,tt0412142,8.7,"457,185"
tt4574334,Stranger Things,tt4574334,8.7,"1,140,455"
tt0286486,The Shield,tt0286486,8.7,"80,411"
tt0407362,Battlestar Galactica,tt0407362,8.6,"164,949"
tt5687612,Fleabag,tt5687612,8.6,"149,478"
tt10802170,The Rehearsal,tt10802170,8.6,"11,443"
tt1606375,Downton Abbey,tt1606375,8.6,"204,279"
tt6741278,Invincible,tt6741278,8.6,"129,217"
tt0804503,Mad Men,tt0804503,8.6,"236,392"
tt10233448,Vinland Saga,tt10233448,8.6,"35,874"
tt10530900,Gullak,tt10530900,8.6,"16,735"
tt1856010,House of Cards,tt1856010,8.6,"500,153"
tt1518542,Sarabhai V/S Sarabhai,tt1518542,8.6,"16,776"
tt5788792,The Marvelous Mrs. Maisel,tt5788792,8.6,"112,411"
tt11280740,Severance,tt11280740,8.6,"95,303"
tt4786824,The Crown,tt4786824,8.6,"196,705"
tt0092455,Star Trek: The Next Generation,tt0092455,8.6,"119,267"
tt12004706,Panchayat,tt12004706,8.6,"68,456"
tt0387764,Peep Show,tt0387764,8.6,"59,874"
tt0758745,Friday Night Lights,tt0758745,8.6,"66,006"
tt0086661,The Adventures of Sherlock Holmes,tt0086661,8.6,"22,222"
tt1628033,Top Gear,tt1628033,8.6,"118,019"
tt0318871,Berserk,tt0318871,8.6,"38,434"
tt5712554,The Grand Tour,tt5712554,8.6,"73,759"
tt13991232,1883,tt13991232,8.6,"61,273"
tt0459159,The Thick of It,tt0459159,8.6,"23,448"
tt2303687,Line of Duty,tt2303687,8.6,"58,074"
tt6025022,Justice League Unlimited,tt6025022,8.6,"16,004"
tt0348914,Deadwood,tt0348914,8.6,"106,477"
tt0773262,Dexter,tt0773262,8.6,"719,723"
tt0106179,The X-Files,tt0106179,8.6,"222,733"
tt1266020,Parks and Recreation,tt1266020,8.6,"254,747"
tt4299972,The Jinx: The Life and Deaths of Robert Durst,tt4299972,8.6,"46,091"
tt0111958,Father Ted,tt0111958,8.6,"40,287"
tt14392248,Aspirants,tt14392248,8.6,"295,793"
tt0988824,Naruto: Shippûden,tt0988824,8.6,"122,051"
tt0088484,Blackadder II,tt0088484,8.6,"46,596"
tt5555260,This Is Us,tt5555260,8.6,"141,492"
tt1733785,The Bridge,tt1733785,8.6,"68,490"
tt9335498,Demon Slayer: Kimetsu no Yaiba,tt9335498,8.6,"96,798"
tt0994314,Code Geass,tt0994314,8.6,"67,077"
tt3322312,Daredevil,tt3322312,8.6,"432,213"
tt4288182,Atlanta,tt4288182,8.6,"70,494"
tt1486217,Archer,tt1486217,8.6,"153,364"
tt0158417,Mahabharat,tt0158417,8.6,"18,444"
tt10638036,Heartstopper,tt10638036,8.6,"48,643"
tt1795096,Behzat Ç.: Bir Ankara Polisiyesi,tt1795096,8.6,"29,872"
tt9140342,It's a Sin,tt9140342,8.6,"30,931"
tt0092324,Blackadder the Third,tt0092324,8.6,"44,153"
tt0094517,Mystery Science Theater 3000,tt0094517,8.6,"24,617"
tt0096639,Lonesome Dove,tt0096639,8.6,"23,189"
tt10332508,Primal,tt10332508,8.6,"13,001"
tt1641384,Young Justice,tt1641384,8.6,"41,101"
tt2049116,Gomorrah,tt2049116,8.6,"39,332"
tt5290382,Mindhunter,tt5290382,8.5,"279,857"
tt4236770,Yellowstone,tt4236770,8.5,"124,598"
tt0090509,The Return of Sherlock Holmes,tt0090509,8.5,"12,209"
tt1305826,Adventure Time,tt1305826,8.5,"93,498"
tt3398540,Haikyu!!,tt3398540,8.5,"24,477"
tt0380136,QI,tt0380136,8.5,"31,762"
tt0434706,Monster,tt0434706,8.5,"29,763"
tt0096657,Mr. Bean,tt0096657,8.5,"118,632"
tt9174558,Dopesick,tt9174558,8.5,"52,519"
tt5189670,Making a Murderer,tt5189670,8.5,"95,390"
tt8595766,Yeh Meri Family,tt8595766,8.5,"23,814"
tt5421602,Anne with an E,tt5421602,8.5,"53,888"
tt0094525,Poirot,tt0094525,8.5,"45,201"
tt0268093,Ramayan,tt0268093,8.5,"19,904"
tt1489428,Justified,tt1489428,8.5,"99,662"
tt0979432,Boardwalk Empire,tt0979432,8.5,"188,006"
tt6763664,The Haunting of Hill House,tt6763664,8.5,"235,808"
tt0080306,Yes Minister,tt0080306,8.5,"14,817"
tt0053488,The Bugs Bunny Show,tt0053488,8.5,"33,729"
tt2244495,The Eric Andre Show,tt2244495,8.5,"18,240"
tt10048342,The Queen's Gambit,tt10048342,8.5,"429,362"
tt1870479,The Newsroom,tt1870479,8.5,"115,267"
tt8289930,Formula 1: Drive to Survive,tt8289930,8.5,"39,327"
tt0863046,Flight of the Conchords,tt0863046,8.5,"61,037"
tt2100976,Impractical Jokers,tt2100976,8.5,"40,110"
tt0088509,Dragon Ball,tt0088509,8.5,"57,020"
tt0275137,Justice League,tt0275137,8.5,"46,372"
tt0187664,Spaced,tt0187664,8.5,"54,572"
tt10850932,Crash Landing on You,tt10850932,8.5,"27,683"
tt0237123,Coupling,tt0237123,8.5,"45,577"
tt0280249,Dragon Ball,tt0280249,8.5,"59,703"
tt0314979,Battlestar Galactica,tt0314979,8.5,"75,147"
